"Customer Name","Location Name","Date","Program Name","Class Name","Component Type","Component ID","Component Name","Component Description","Performance Result Type","Rep Scheme","Fully Formatted Result","From Weightlifting Total","From Variable Set","Is Rx","Is Rx Plus","Is Personal Record","Personal Record Description","Comment"
"Dirigo Fitness","Dirigo Fitness",09/25/2018,"Adult Athlete","6:00 AM","Weightlifting",22,"Back Squat",,"Weight",,"1 x 10 @ 115 lbs",FALSE,FALSE,FALSE,FALSE,FALSE,,"32x1"
"Dirigo Fitness","Dirigo Fitness",10/09/2018,"Adult Athlete","6:00 AM","Weightlifting",22,"Back Squat",,"Weight",,"4 x 10 @ 100 lbs",FALSE,FALSE,FALSE,FALSE,FALSE,,
"Dirigo Fitness","Dirigo Fitness",11/06/2018,"Adult Athlete","6:00 AM","Weightlifting",22,"Back Squat",,"Weight",,"1 x 8 @ 125 lbs",FALSE,FALSE,FALSE,FALSE,FALSE,,"31x1"
"Dirigo Fitness","Dirigo Fitness",11/13/2018,"Adult Athlete","6:00P.M","Weightlifting",22,"Back Squat",,"Weight",,"2 x 6 @ 145 lbs",FALSE,FALSE,FALSE,FALSE,FALSE,,"31x1"
"Dirigo Fitness","Dirigo Fitness",11/20/2018,"Adult Athlete","6:00P.M","Weightlifting",22,"Back Squat",,"Weight","4 x 6(31x1)*2 min rest between sets","2 x 6 @ 145 lbs",FALSE,FALSE,FALSE,FALSE,FALSE,,"31x1"
"Beacon & Yarmouth Community Fitness","Beacon & Yarmouth Community Fitness",12/17/2018,"Strict Strength and Skills"," 5:45 Core FUNction","Weightlifting",22,"Back Squat",,"Weight",,"1 x 8 @ 165 lbs",FALSE,FALSE,FALSE,FALSE,FALSE,,
"Beacon & Yarmouth Community Fitness","Beacon & Yarmouth Community Fitness",12/27/2018,"CrossFit","7:00 AM CrossFit","Weightlifting",22,"Back Squat",,"Weight","1 RM","1 x 1 @ 185 lbs",FALSE,FALSE,FALSE,FALSE,TRUE,"PR by 20 lbs vs. 165 on 12/17/2018",
"CrossFit Yarmouth",,02/17/2020,,,"Weightlifting",22,"Back Squat",,"Weight",,"1 x 1 @ 205 lbs",FALSE,FALSE,FALSE,FALSE,TRUE,"PR by 20 lbs vs. 185 on 12/27/2018",
"CrossFit Yarmouth",,10/21/2019,,,"Weightlifting",22,"Back Squat",,"Weight",,"1 x 5 @ 170 lbs",FALSE,FALSE,FALSE,FALSE,FALSE,,
"CrossFit Yarmouth","CrossFit Yarmouth",07/06/2020,"CrossFit","CrossFit: 5:30 PM","Weightlifting",22,"Back Squat",,"Weight","10-10-10","4 x 10 @ 165 lbs",FALSE,FALSE,FALSE,FALSE,TRUE,,"A few warm ups at same weight "
"CrossFit Yarmouth","CrossFit Yarmouth",07/31/2020,"CrossFit","CrossFit: 12:00 PM","Weightlifting",22,"Back Squat",,"Weight","6-6-6-6-6","5 x 6 @ 155 lbs",FALSE,FALSE,FALSE,FALSE,FALSE,,"Could’ve 165 maybe "
"CrossFit Yarmouth",,08/24/2020,,,"Weightlifting",22,"Back Squat",,"Weight","5x5x3x3x3","5 x 3 @ 185 lbs",FALSE,FALSE,FALSE,FALSE,FALSE,,"Might’ve done 190"
"CrossFit Yarmouth","CrossFit Yarmouth",05/12/2021,"CrossFit","CrossFit: 5:30 PM","Weightlifting",22,"Back Squat",,"Weight","2-2-2-2-AMRAP","1 x 3 @ 205 lbs",FALSE,FALSE,FALSE,FALSE,TRUE,"PR by 2 reps vs. 1 on 02/17/2020","2x2x2x2 at 185#. PR for me "
"CrossFit Yarmouth","CrossFit Yarmouth",08/09/2021,"CrossFit","CrossFit: 4:30 PM","Weightlifting",22,"Back Squat",,"Weight","6-4-2 6-4-2","2 x 2 @ 205 lbs",FALSE,FALSE,FALSE,FALSE,FALSE,,
"CrossFit Yarmouth","CrossFit Yarmouth",01/10/2022,"CrossFit","HOME WOD","Weightlifting",22,"Back Squat",,"Weight","5-5-5-5-5","5 x 5 @ 175 lbs",FALSE,FALSE,FALSE,FALSE,TRUE,"PR by 5 lbs vs. 170 on 10/21/2019","Final reps were at #185"
"CrossFit Yarmouth","CrossFit Yarmouth",03/02/2022,"CrossFit","HOME WOD","Weightlifting",22,"Back Squat",,"Weight","3-3-3-3-3","5 x 3 @ 200 lbs",FALSE,FALSE,FALSE,FALSE,FALSE,,"4 sets at 195. Then 2 sets at 215. Final bonus set at 220"
"CrossFit Yarmouth","CrossFit Yarmouth",03/21/2022,"CrossFit","CrossFit: 4:30 PM","Weightlifting",22,"Back Squat",,"Weight","3-3-3-3-3","5 x 3 @ 215 lbs",FALSE,FALSE,FALSE,FALSE,TRUE,"PR by 10 lbs vs. 205 on 02/17/2020","Last reps at 225"
"CrossFit Yarmouth","CrossFit Yarmouth",04/11/2022,"CrossFit","CrossFit: 9:00 AM","Weightlifting",22,"Back Squat",,"Weight","10-10-10","3 x 10 @ 145 lbs",FALSE,FALSE,FALSE,FALSE,FALSE,,
"CrossFit Yarmouth","CrossFit Yarmouth",11/07/2022,"CrossFit","CrossFit: 4:30 PM","Weightlifting",22,"Back Squat",,"Weight","12-12-12","3 x 12 @ 155 lbs",FALSE,FALSE,FALSE,FALSE,FALSE,," "
"CrossFit Yarmouth",,04/13/2023,,,"Weightlifting",22,"Back Squat",,"Weight",,"4 x 7 @ 185 lbs",FALSE,FALSE,FALSE,FALSE,FALSE,,"Final set was actually 195"
"CrossFit Yarmouth",,04/13/2023,,,"Weightlifting",22,"Back Squat",,"Weight",,"1 x 5 @ 215 lbs",FALSE,FALSE,FALSE,FALSE,TRUE,"PR by 2 reps vs. 3 on 03/21/2022","Why not?"
"CrossFit Yarmouth","CrossFit Yarmouth",07/06/2023,"CrossFit","CrossFit: 4:30 PM","Weightlifting",22,"Back Squat",,"Weight","3-3-AMRAP","1 x 5 @ 215 lbs",FALSE,FALSE,FALSE,FALSE,FALSE,," "
